,0,1,id,word,degree
553,3.5708964,-0.96942973,303,énergie,487
554,0.9826224,2.4821625,1448,direct,721
555,1.1481104,-2.3984306,1286,privilège,621
556,-0.55204725,1.3555906,971,vrai,440
557,1.0204351,1.1929142,108,plat,815
558,-0.9508307,2.4238827,1505,moitié,666
559,-0.1239154,1.0279763,1192,assurer,496
560,-1.1242958,2.513059,1748,mis,404
561,2.0743198,-0.18527651,2129,responsable,447
562,-0.7980286,-0.99437255,415,commun,461
563,-2.6275282,-1.1329014,2798,amende,454
564,-0.8766801,3.751465,2666,parent,539
565,-1.5901558,1.6155462,4184,demander,465
566,4.2746596,-0.3825155,1060,réduit,488
567,4.384307,0.514508,743,œuvre,493
568,4.1678743,0.021353146,965,véhicule,470
569,-0.6808671,-1.9416386,1545,réalisé,597
570,3.451336,-0.82434285,884,matière,412
571,-0.69044656,-2.2018018,711,total,450
572,-0.5120051,3.5804148,1149,jeune,367
573,-2.149469,-1.349446,40,renforcer,593
574,2.1132312,-1.0503366,526,éducation,476
575,0.5733168,2.5282817,1238,soumis,694
576,-0.63207954,1.5053122,2022,écart,611
577,4.3500404,0.53850895,94,art,613
578,1.682442,0.7093236,156,organisme,368
579,1.521671,1.679694,1566,flat,912
580,1.9378245,0.7376544,458,dispositif,414
581,-0.28754783,0.79257715,1509,priorité,503
582,-0.8610326,2.3668182,627,or,356
583,1.7583456,1.1038035,2684,capitaux,462
584,4.3807125,0.50512177,3353,oeuvre,456
585,-1.7636852,0.93252146,2457,modèle,346
586,0.76897895,-0.010390201,687,manque,377
587,-0.7758609,0.2598378,903,peuple,350
588,4.595823,-0.68995005,1177,alimentaire,642
589,0.34937322,3.661951,771,inflation,773
590,0.7744832,2.8852847,1726,suivant,476
591,0.7847778,2.313967,1084,définir,487
592,-0.045462035,0.37307093,104,transparence,600
593,-0.8450587,3.4896514,2647,héritage,556
594,-1.0355349,1.9643815,2097,donne,414
595,-1.0866746,2.2454073,2338,cesser,427
596,1.1617043,2.6667979,2212,e,459
597,0.9186877,0.51352835,3447,améliorer,481
598,-0.9342733,-1.0986352,945,permettent,581
599,0.53297496,0.3702445,460,propre,328
600,0.15626594,2.250039,176,limite,393
601,-2.316361,-1.3495338,2092,noir,547
602,-0.9186232,-1.0057255,3236,contrôler,516
603,-1.3373518,2.1380591,2088,aura,410
